File,Title,Artist,Release,Duration,BPM,Ratio Bars in 4,Time Signature,Genre,MusicBrainz Id,Acoustid Id
0013_athingaboutyou,A Thing About You,Tom Petty & the Heartbreakers,The Live Anthology,300.307,152,98.41269841,4|4,Rock,5c9b889c-35d7-418d-ba94-15a53a18151d,4028988a-86c1-43d6-8c23-d01787d79f21
0014_babaoriley,Baba O'Riley,The Who,Best of British,313.928,118,100.0,4|4,Classic Rock,6156cb06-eb90-4fc4-aa7b-60b1e285aaaa,f1eaa5d7-b84f-44ba-8899-e410f8e041df
0015_babygotback,Snake Charmer,John Hiatt,White Nights: Original Motion Picture Soundtrack,148.823,129,100.0,4|4,Hip-Hop,9fdde642-2f7a-3b96-87cf-cf7ab4776b0a,
0017_badromance,Bad Romance,Lady Gaga,Love 2 Club,165.582,119,100.0,4|4,Pop,0b651db4-3eb4-32bd-9b42-f00cc20d9f49,
0018_bassdownlow,Bass Down Low,DEV,Bravo Hits 73,148.222,113,100.0,4|4,Pop,005d1e81-4a29-32e4-aa3f-021f15acedb8,
0020_becauseofyou,Because of You,Ne-Yo,"Sexxxplicit R&B, Volume 25",203.675,110,100.0,4|4,R&B,23f04adb-c416-4ca3-9b0f-8b05d0a0a29a,b5b27427-7aad-4269-82ed-2b0db476c033
0021_better,Better,Guns N' Roses,Chinese Democracy,303.967,98,97.56097561,4|4,Rock,6c1c5c06-ae3a-4fd6-859c-71516a6f8ef7,e72e164d-038c-45b8-af24-61ad6b13ea14
0022_betteroffalone,Better Off Alone,Alice DeeJay,Now That’s What I Call Music! 1999: The Millennium Series,161.373,137,100.0,4|4,Dance/Electronic,3af83d6e-5eca-3253-a482-933bc0e8d609,
0023_bewareoftheboys,Beware of the Boys (Mundian to Bach Ke),Panjabi MC,Stick It: Original Soundtrack,151.908,98,100.0,4|4,World,41f09b9e-fce5-3be7-b960-c8478ed19f3a,96180b78-f646-45cb-9367-cdd638f10e26
0024_billionaire,Billionaire,Travie McCoy,Now That's What I Call Music! 35,216.382,87,100.0,4|4,Hip-Hop,324cb765-fd2c-49fc-9e1a-80d519391b0d,fe3a19f7-e418-430a-a380-779029a8911f
0026_blackandyellow,Black and Yellow,Wiz Khalifa,Rolling Papers,171.151,82,100.0,4|4,Hip-Hop,0ac0d907-6f66-356d-9da7-8af07e5d359f,
0027_blackened,Blackened,Metallica,The Greatest Hits,402.194,190,73.25102881,4|4,Metal,2db8cd35-6fa7-4b4b-8093-eef0550a81e6,f6660990-53ae-455b-9f5a-fee0c9e49ab4
0028_blackmagic,Secret Room,Baboon,Something Good Is Going to Happen to You,244.984,185,93.02325581,4|4,Metal,54c2d307-b218-31c6-9f79-48c97033a2bf,
0030_bodymovin,Body Movin’ (Fatboy Slim remix),Beastie Boys,Body Movin',168.458,102,100.0,4|4,Hip-Hop,03a279a5-a6af-4890-95ec-1f9b75e4a0dd,
0032_boomboompow,Fearless,The Bravery,The Bravery,154.81,130,100.0,4|4,Hip-Hop,047a96f2-2614-4563-8d9d-cfa2b5a87b45,
0035_boyfriend,Boyfriend,Justin Bieber,Hits for Kids Pop Party 8,173.4,97,100.0,4|4,Pop,3891874d-82cd-4ca6-bbbb-984b4f9b881d,0e8aaad2-fbfe-4365-a7be-673b56d98176
0036_breakingthegirl,Breaking the Girl,Red Hot Chili Peppers,Blood Sugar Sex Magik,300.908,89,0.0,6|8,Alternative,f5d125a0-e578-4a33-b026-4527a7682e66,7b193638-c6f1-43dc-ba62-25d7bf6f138f
0037_breakyourheart,Break Your Heart,Taio Cruz,M6 Hits : Été 2010,134.444,122,100.0,4|4,Pop,0d60a371-7642-4e71-9cd9-0c6274e7874d,
0038_bringmetolife,Bring Me to Life,Evanescence,Ultimate Grammy Collection - Contemporary Rock,236.409,95,98.93617021,4|4,Rock,c24eb26a-04d6-4f09-9449-9bc334f78ede,abd65ae5-7656-40aa-a5d9-fd27ac34573a
0039_bulletproof,Bulletproof,La Roux,La Roux,126.992,123,100.0,4|4,Pop,06f27478-0bad-39fc-aeb7-a19c37429515,08e18a46-813f-45f2-a485-45e95679dd10
0040_bustamove,Bust a Move,Young MC,Ministry of Sound: Throwback Hip Hop,153.948,118,100.0,4|4,Hip-Hop,3d520cf1-2ea2-4f2b-a9fc-b3b001931f57,
0041_calabria,Calabria 2008,Enur,"Promo Only: Dance Radio, December 2007",155.543,126,100.0,4|4,Reggaeton,f498ab85-c604-3981-962a-7ef0c45ef13f,
0042_callme,The One That Counts,The Wolf Banes,Wolfbania!,231.467,143,98.48484848,4|4,Rock,d6304759-4abd-319e-bd26-411aeaa05476,90d8c1d4-0e3e-4ace-81da-816d914b6739
0043_callmemaybe,Call Me Maybe,Carly Rae Jepsen,Beach Party 2012,196.224,120,100.0,4|4,Pop,0109494f-27f0-3c93-ab22-0f11f32bf81e,
0044_cameraeye,The Camera Eye,Rush,Moving Pictures,647.538,166,89.40217391,4|4,Prog,0dd8023b-814f-3e15-ac30-3565121ea2a4,8744e697-ce4c-4c71-91f2-65eea309624b
0045_cantgetyou,Can't Get You Out of My Head,Kylie Minogue,Dancemania Hyper Delux,137.372,126,100.0,4|4,Pop,a9254b76-92d9-4124-90bb-285d5b610d75,4d3754ad-6633-4d2e-be29-33a3316ac0e0
0046_castlesmadeofsand,Castles Made of Sand,The Jimi Hendrix Experience,The Ultimate Experience,170.262,94,98.41269841,4|4,Classic Rock,a2e6fc78-f605-4e94-b22c-37c191a347c0,7ca4ba8a-b796-464e-a54e-c9a2fc6f7d0b
0047_chinacatsunflower,China Cat Sunflower,Grateful Dead,Aoxomoxoa,229.14,98,100.0,4|4,Classic Rock,796160cf-6a7d-4d8e-a292-40c42e69673d,94a3f53a-fde0-4d9f-a7dc-fdc229c8d407
0048_chingaling,Ching-A-Ling,Missy Elliott,Step Up 2: The Streets,174.288,102,100.0,4|4,Hip-Hop,045ea073-07f9-43e7-9341-9e655ef895f9,
0049_closer,Closer,Ne‐Yo,Massive Weekend,144.954,126,100.0,4|4,R&B,04302385-54f1-3624-99e2-fc6e6940efe8,8be9c149-0ec1-4c02-af9e-fac92c7b7e05
0050_clubcanthandleme,Club Can’t Handle Me,Flo Rida,Ultimate R&B 2010,157.686,128,100.0,4|4,Pop,17d3e2f5-eb51-4344-8142-2378492473df,f58a0cbe-a40c-48e4-9563-e32a9c1399e5
0052_collector,The Collector,Nine Inch Nails,The Downward Spiral / With Teeth,191.126,138,71.28712871,4|4,Rock,b4723bb5-207d-4b0d-82ca-54ae8d6eeac6,1b5a801f-5f0f-487e-83cb-66e82af3c0a7
0053_commander,Commander (radio edit),Kelly Rowland,One More Love,138.888,125,100.0,4|4,Pop,3fee0f50-5751-349f-90dc-9e5385b6048f,97d076b1-423c-4050-851f-4e15441a7455
0054_conceited,Conceited (There's Something About Remy),Remy Ma,Ride with the Big Dawg,162.419,99,100.0,4|4,Hip-Hop,b4762a4d-b0d3-4c64-bb58-cb480093d6b1,
0055_constantmotion,Constant Motion,Dream Theater,Terrorizer: Fear Candy 47,422.09,180,92.35880399,4|4,Prog,de9a40e7-3638-4e4b-8d1b-77e9d6f141ed,d8dbebc0-5afc-41d3-8037-568fa53402ed
0056_control,Control,Janet Jackson,Control,132.169,120,100.0,4|4,Pop,02fbedad-af74-460c-89d5-cb7114cedb9d,
0057_crankthat,Crank That (Soulja Boy) (clean),Soulja Boy Tell ’Em,Crank That (Soulja Boy),137.372,140,100.0,4|4,Hip-Hop,13ca419c-94d4-4c44-89d1-9326d7309924,
0058_criticalacclaim,Critical Acclaim,Avenged Sevenfold,Avenged Sevenfold,315.471,138,75.14792899,4|4,Metal,d3967a16-18a5-4a91-a03b-fe3016f1ffe4,f3059de3-54c3-479e-be99-7e2646e2ffe5
0059_cupidshuffle,Cupid Shuffle (radio version),Cupid,This Is a Challenge,151.072,144,100.0,4|4,Hip-Hop,2907feb9-c3b0-4b03-94af-ba2b38e7ae93,
0061_dabutt,Da’Butt,E.U.,Mobile Beat Dance 3,170.602,97,100.0,4|4,Hip-Hop,9ef91e6c-f090-43db-a08b-53b2cd84d66d,
0062_dance,D.A.N.C.E.,Justice,"Presents Radio Soulwax Live: Get Yer Yo Yo’s Out, Pt. 3",138.235,113,100.0,4|4,Dance/Electronic,07672bfb-cbea-3c91-9162-c9c2e7de9a00,
0063_daysgoby,Days Go By,Dirty Vegas,Dirty Vegas,115.488,127,100.0,4|4,Dance/Electronic,01133393-6f81-3475-80c4-e62a8de74fd2,
0065_deadandbloated,Dead & Bloated,Stone Temple Pilots,Core,319.053,61,68.57142857,4|4,Alternative,1fb4a9bb-2f9d-4df6-885b-6eef8078f79f,94e09994-e3ce-443a-83d4-65416c9b554c
0066_decentdaysandnights,Decent Days and Nights,The Futureheads,The Futureheads,155.15,172,75.22123894,4|4,Punk,4fa18265-ba68-40af-9590-62c6cb84ad55,29166f10-57ec-4faa-9583-b2f0c9357a9e
0067_deep,Deep,Pearl Jam,Definitive Collection,265.064,165,0.0,3|4,Grunge,1226999c-e94e-49a0-94a1-3028d99b2883,ba1c10c6-7a44-4915-9fc8-42d8c82a4724
0068_devilsisland,Devil’s Island,Megadeth,Peace Sells… But Who’s Buying?,311.392,167,100.0,4|4,Metal,69c90076-5937-4086-83d9-8c3fce62c5d5,
0069_digginmedown,Diggin' Me Down,Ozzy Osbourne,The Collection,365.721,110,97.57575758,4|4,Metal,76bb1f1c-aec9-461e-91be-483c5707c326,b359fd68-de8d-4913-a0e3-03823db68171
0070_dipitlow,Dip It Low,Christina Milian,The R&B Yearbook,159.307,84,100.0,4|4,R&B,117503e2-2cac-4e18-a08a-96952a4f02f5,
0071_dirtypool,Dirty Pool,Stevie Ray Vaughan and Double Trouble,Texas Flood,304.464,152,2.016129032,3|4,Blues,684e5802-ccd6-4629-9c77-f9e5207f6a2b,582f419f-ee55-4751-8ad1-dc5f27bed84f
0072_discoinferno,Disco Inferno,The Trammps,"Seventies Complete, Volume 1",141.607,130,100.0,4|4,Funk/Disco,016fc473-c25a-4bd8-bed2-7671c8aff402,
0073_disturbia,Disturbia,Rihanna,Massive R&B: Winter 2008,135.045,125,100.0,4|4,Pop,0027efd1-c37a-3709-a032-f9a3561043e9,
0074_djgotusfallininlove,DJ Got Us Falling in Love Again,Usher,Now That's What I Call Music 34,139.751,120,100.0,4|4,Pop,0018f2bb-dc3e-3188-a18f-85f7b60b4adc,28546e1e-8128-429b-bf10-e99f125979eb
0075_dontcha,Don’t Cha,The Pussycat Dolls,R&B Summertime,148.196,120,100.0,4|4,R&B,17750854-cb74-46ce-b949-c5a5ca344281,
0077_dontsweat,Don't Sweat the Technique,Eric B. & Rakim,The Hip Hop Vibe,161.713,106,100.0,4|4,Hip-Hop,12b45df2-ea22-3261-a2aa-98155dae3938,
0078_donttouchme,Don't Touch Me,The Game,Laugh Now Cry Later,165.974,113,100.0,4|4,Hip-Hop,651d61d9-d2de-496b-a01f-3b78f446f486,
0079_dontyouwantme,,,,223.258,117,100.0,4|4,Dance/Electronic,88b8d585-02c6-4ac7-b1ee-f160f83afa78,
0080_down,Down,Jay Sean,Absolute Music 62,144.196,132,100.0,4|4,Pop,0b2baaf3-cbb8-3a5b-8a4a-2fe7442a118a,a2cb9bb3-41e6-422d-9fed-a4f4a78db57a
0081_downonme,Down on Me,Jeremih,Ministry of Sound: Maximum Bass Platinum,162.209,80,100.0,4|4,Hip-Hop,260910bf-2a05-4866-9818-d18aeaf50b0b,
0082_dragosteadintei,Dragostea din tei,O-Zone,Smash Hits! Let's Party,146.496,130,100.0,4|4,Pop,1361f7ba-815b-32c5-82d6-4a8f7e63b57b,
0083_dragthewaters,Drag the Waters,Pantera,Reinventing Hell: The Best of Pantera,300.751,126,94.80519481,4|4,Metal,0b273692-5d6e-47f1-a498-41730ace1ddf,
0084_dropitlikeitshot,Drop It Like It's Hot,Snoop Dogg,"50,000,000 Soulwax Fans Can’t Be Wrong",167.125,92,100.0,4|4,Hip-Hop,141233b8-08a8-3dc1-a19b-fc230091b213,b79ccb22-22d0-4b36-8a19-3167b0e2d82c
0085_electricboogie,Electric Boogie,Marcia Griffiths,"Art Laboe's Dedicated to You, Volume 8",159.987,108,100.0,4|4,Reggaeton,00ed8af3-13ca-4221-be53-6e37a1398377,
0086_escapade,Escapade,Janet Jackson,Rhythm Nation 1814,167.151,115,100.0,4|4,Pop,17e48c34-0abc-42f5-a16b-c881c3651a06,
0087_evacuate,Evacuate the Dance Floor,Cascada,Miss Independent: From the Ladies of Pop,121.162,127,100.0,4|4,Pop,01b68762-6583-3e68-a968-a9d9de436a59,2b81187a-e7ee-4854-bac6-a2469e791ab1
0088_everybody,Everybody (Backstreet’s Back),Backstreet Boys,Fresh Hits 1997,170.236,108,100.0,4|4,Pop,006e2564-605a-38cc-ba00-e158b8600e7e,c6ff93b1-a3d5-4073-9dbd-38691cdb6590
0090_fearofthedarklive,Powerslave,Iron Maiden,Flight 666: The Original Soundtrack,449.228,100,97.86096257,4|4,Metal,a787da58-a3aa-4b14-bf88-99ed8cb3a644,ca7f1bf7-165d-421a-93f9-0b4d21c69004
0091_fellonblackdays,Fell On Black Days,Soundgarden,Foreshocks,280.986,101,36.66666667,6|4,Grunge,68e9c8da-df16-4d36-a296-fc6e9457dc1d,d3eea895-2f53-4fa4-84ce-937b14fecf60
0092_fergalicious,Fergalicious,Fergie,The Dutchess,149.032,129,100.0,4|4,Pop,02bbc20a-62ef-3745-870e-bde0347a50d2,
0093_fireburning,Fire Burning,Sean Kingston,Now That’s What I Call Music! 74,148.483,123,100.0,4|4,Reggaeton,1101f833-a839-3bc5-b1af-c6541e650626,6600aada-9730-4fee-b756-19a8b506593c
0094_fireflies,Fireflies,Owl City,Now That's What I Call 21st Century,230.474,90,100.0,4|4,Pop,059a2012-0bcf-4ef3-b550-69448247d1da,25af563f-ca16-40fc-ab17-2c84e2942f52
0095_firework,Firework,Katy Perry,NRJ Music Awards 2011,166.654,124,100.0,4|4,Pop,0a22af63-1fe3-3345-97a7-04d3606f663b,5714b886-63e2-42a4-8948-94e061b5e0e3
0096_fivemagics,Five Magics,Megadeth,The Originals,343.864,174,85.23809524,4|4,Metal,ccc5ef3e-ebea-400d-be52-b3339f6f7120,b1c1f7b3-e2ff-4ca3-8390-e4eec0dd1f29
0098_floods,Floods,Pantera,The Great Southern Trendkill,424.443,120,97.70642202,4|4,Metal,21c1a037-fa7e-4129-a2af-773249489c07,
0099_forgetyou,Forget You,CeeLo Green,Car‐aoke,165.19,128,100.0,4|4,R&B,4f92f0af-1a00-41fe-9c81-9d3ea47a6e06,
0100_futureperfecttense,Future Perfect Tense,Sweet Billy Pilgrim,Prog Rocks!,268.279,120,57.85123967,4|4,Indie Rock,8409c9d9-b949-4b2c-835a-7883ef4a7428,5482f502-cf4f-4266-8214-6fa3ceaeb523
0101_galang,Galang '05,M.I.A.,Galang,160.066,101,100.0,4|4,Reggaeton,9e6e22fb-930f-3c01-9733-d11aa2f36a84,
0102_gangstaluv,Gangsta Luv,Snoop Dogg feat. The-Dream,"Promo Only: Urban Radio, January 2010",242.631,102,100.0,4|4,Hip-Hop,3789de7d-a4e3-465c-83f9-050232719efe,ee8abb74-b5ee-43f5-9d71-eae5a123cdb1
0104_getbusy,Get Busy,Sean Paul,Absolute Music 43,173.007,100,100.0,4|4,Reggaeton,0e15d9c6-8156-4ab6-b0cb-53f1a53ab17f,
0105_getdownonit,Get Down on It,Kool & The Gang,Disco Fever,169.609,111,100.0,4|4,Funk/Disco,06a9b28f-e3e8-36d7-9f3e-9316b9d12e8b,
0106_getitshawty,Get It Shawty,Lloyd,Massive R&B: Winter 2008,146.444,128,100.0,4|4,R&B,036cdc1c-93af-3fc4-b4fd-b5a6934cb10c,
0107_getlow,Get Low,Lil Jon & The East Side Boyz,Need for Speed Underground,187.936,101,100.0,4|4,Hip-Hop,109df20d-4f2e-361d-a747-e3499ce2fdd7,
0108_getup,Get Up (I Feel Like Being a) Sex Machine,James Brown,Absolument 70: Les Plus Grands Tubes Internationaux,162.942,108,100.0,4|4,Funk/Disco,05e065f2-acb2-4d89-8d49-611c50059b0b,78d27b6d-a932-4566-ba77-8cf2ea4e38ef
0109_geturfreakon,Get Ur Freak On,Missy Elliott,The Ultimate Hit Collection: The Hits Vol. 7,168.066,89,100.0,4|4,Hip-Hop,83a552f7-e3a0-4207-9e6a-22edbbb46518,3904486a-aa28-462a-8be8-e50617ec5def
0110_girlsandboys,Girls & Boys,Blur,Modern Rock: The Mid '90s,150.68,120,100.0,4|4,Pop,017b3d66-137c-3b3d-bf3d-b6a4fe50ffab,
0111_girlsonfilm,Girls on Film,Duran Duran,101 80s Hits,212.408,131,97.41379309999999,4|4,Pop,d552f3dd-fde2-4c74-bdf4-99741618f1f1,7709021b-c7b2-400a-b001-7ae63195bc00
0112_giveitup,Give It Up,Datarock,Red,173.007,140,100.0,4|4,Dance/Electronic,7bf03782-42cf-3d42-b63b-93ddf1f1adcd,
0113_giveituptome,(When You Gonna) Give It Up to Me,Sean Paul,"Grandmaster R'N'B, Volume 6",152.667,96,100.0,4|4,Reggaeton,3a8a20f6-444e-310a-8a31-ebf56006e1d2,
0114_givemeeverything,Give Me Everything,Pitbull,More Music 2011,163.909,129,100.0,4|4,Pop,9a003e6f-ca42-3b57-92b8-2ac3d940227a,
0115_gonnamakeyousweat,Gonna Make You Sweat (Everybody dance Now),C+C Music Factory,Le 100 canzoni di sempre internazionali,162.0,114,100.0,4|4,Pop,31a3aea5-5f92-3a98-aa59-1b7f0b08e916,
0116_goodies,Goodies,Ciara,Now That's What I Call Music! 17,130.208,101,100.0,4|4,R&B,1786078c-b374-399d-bae6-47dd0d9a131a,
0117_goodmorningblackfriday,Good Mourning / Black Friday,Megadeth,Peace Sells... But Who's Buying?,405.409,175,93.48659004,4|4,Metal,caae415a-d3de-4996-b759-65f7cd238512,25fc17ca-b884-4b4b-a825-30e6a021af12
0118_grenade,Grenade,Bruno Mars,Bravo Hits 73,141.999,110,100.0,4|4,Pop,031f9780-e7ca-37cc-9472-8b8896a397a3,
0119_gunpowderandlead,Gunpowder & Lead,Miranda Lambert,Crazy Ex-Girlfriend,190.08,94,97.22222222,4|4,Country,27b569a1-491b-4847-8aff-194df023dc5f,29ea1def-1222-494d-9c5d-0c939364512a
0120_hallowedbethyname,Hallowed Be Thy Name,Iron Maiden,Tokyo 1st Night,481.047,120,99.08675799,4|4,Metal,0622ee9a-edc3-42ae-8359-60a6866f2942,
0122_heardemall,Heard ’em All,Amerie,In Love & War,127.515,98,100.0,4|4,Pop,39635547-a1ca-3b38-8d6d-f223b25d301e,
0123_heavyduty,Heavy Duty,Spın̈al Tap,Back From the Dead,299.47,73,96.66666667,4|4,Metal,d7108622-fb7a-47dd-970a-be9b034ef05c,050a7926-1a3e-4a1f-ab1e-6013477d04d1
0124_hello,Hello,Martin Solveig,Now That's What I Call Running,170.863,128,100.0,4|4,Dance/Electronic,a53b4024-6531-4e71-a743-2b762e81b729,7d6e3ee4-685a-42f5-a260-f76afcb939d3
0125_hellogoodmorning,Hello Good Morning,Diddy - Dirty Money,Last Train to Paris,171.805,104,100.0,4|4,Hip-Hop,349a6c39-2214-3a16-a41c-310c26531254,
0126_heymami,Hey Mami,Fannypack,HVY.17.Sumosonic,116.142,133,100.0,4|4,Hip-Hop,075b9864-8a6a-358c-bc5e-a435d7caf026,
0127_hollabackgirl,Hollaback Girl,Gwen Stefani,"Dance 2005, Volume 2",150.732,110,100.0,4|4,Pop,04af5a43-6c05-4e25-9329-19e880c10c22,c189268b-32b2-4934-a7b1-4a827d44a200
0128_homecoming,Homecoming: I. The Death of St. Jimmy / II. East 12th St. / III. Nobody Likes You / IV. Rock and Roll Girlfriend / V. We're Coming Home Again,Green Day,21st Century Breakdown / American Idiot,559.194,124,99.67532468,4|4,Rock,6de49025-14ac-4e48-8a49-bbcb5cf2c938,6ee8ba9a-2bde-4c9a-8efe-9b874f882010
0129_hotinherre,Hot in Herre,Nelly,R&B Summertime,151.046,107,100.0,4|4,Hip-Hop,edce0883-d142-3400-b265-6fc9139590bc,17c91f16-59f0-4f03-a1ad-87d210d5371d
0130_hotstuff,Hot Stuff,Donna Summer,"Disco Divas, 20 Dance Classics",144.483,120,100.0,4|4,Funk/Disco,0160e225-e9e4-445e-a0ad-938f4f6c9e36,
0131_iamthebest,I AM THE BEST (MUSIC CLIP),2NE1,NOLZA,148.3,128,100.0,4|4,Pop,020b968a-9839-3e2a-a680-1ee9bb390924,
0132_iceicebaby,Ice Ice Baby,Vanilla Ice,Hooked,153.686,115,100.0,4|4,Hip-Hop,00ad32d8-f07e-3acd-b36d-4c2974c413f8,359fd7d8-c744-4e89-a7f5-0f42014c787d
0133_ifeellove,I Feel Love,Donna Summer,The History of Pop 1977-1979,157.007,127,100.0,4|4,Funk/Disco,cf9667f1-af06-4e1d-a29b-dedb2325cb00,
0134_igotmine,I Got Mine,The Black Keys,"Music From Time and Space, Vol. 28",234.945,155,87.5,4|4,Rock,57676da9-0279-47cd-a943-f8981e010f10,b4d9082e-a24e-4949-ac9e-a7a734fdedac
0135_igottafeeling,I Gotta Feeling,The Black Eyed Peas,Absolute Music 62,195.597,128,100.0,4|4,Pop,2b8534d6-0441-4aff-b54e-a124851c54a6,4a4fefb8-201d-4aa8-88b4-747961b42443
0136_igotyoudancing,I Got You Dancing,Lady Sovereign,Monitor This! April/May 2009,138.418,125,100.0,4|4,Hip-Hop,0851a128-f9f1-334e-9d50-111dbe0bed36,
0137_iknowyouwantme,I Know You Want Me (Calle Ocho) (More English extended),Pitbull,Mykonos 10,145.738,127,100.0,4|4,Reggaeton,39f44711-234b-3a13-92c8-2409a1fd4a63,
0138_ilikeit,I Like It,Enrique Iglesias,Euphoria,158.34,129,100.0,4|4,Pop,0470ef9a-134f-4184-af87-4e511ee2e0f1,
0139_imcomingout,I’m Coming Out,Diana Ross,14 Greatest Hits,159.177,110,100.0,4|4,Funk/Disco,02ebd214-f29d-3ce1-9546-4c777b25e0c5,
0140_impacto,Impacto,Daddy Yankee,Grand Theft Auto IV Radio,160.196,100,100.0,4|4,Reggaeton,2a48441f-df27-4a75-9598-26405659ebf7,
0141_indaclub,In da Club,50 Cent,You Can Dance,162.209,90,100.0,4|4,Hip-Hop,9ad7735b-140e-4b6d-b0a4-8da0076064d6,73f05aa3-7b18-48af-b640-79f115a94797
0142_indestructible,Indestructible,Disturbed,Disturbed,278.319,90,81.11111111,4|4,Metal,14b5e624-5322-4a4e-a4f5-8ead6b15cf22,60d0eb95-890c-4513-910b-616f13d909b3
0143_informer,Informer,Snow,Reggae Reggae,144.666,98,100.0,4|4,Reggaeton,3d3c7123-de0a-4c27-88b7-2017b2a3bfaf,8fa47a84-a3f8-4628-b6c4-b44522b5f391
0144_ishotthesheriff,I Shot the Sheriff,Bob Marley & The Wailers,I Shot The Sheriff,237.768,98,93.5483871,4|4,Reggaeton,005800b6-7e74-4c6b-ab33-4867203390fb,45c53baa-571e-439d-9f86-89891793fabb
0145_iwantyouback,I Want You Back,The Jackson 5,Classic Rock: 1969,204.956,99,93.82716049,4|4,Pop,34875bbe-2236-49fb-84c2-1aa8feaf1689,
0148_jesusofsuburbia,Jesus of Suburbia: I. Jesus of Suburbia / II. City of the Damned / III. I Don't Care / IV. Dearly Beloved / V. Tales of Another Broken Home,Green Day,21st Century Breakdown / American Idiot,551.899,145,94.69496021,4|4,Rock,fdab5639-2406-4a1d-a603-620c63fe146b,376e9692-1e75-4cd4-8d7d-68fed158ec6d
0149_johnnyguitar,Johnny Guitar,Pearl Jam,The Ultimate Best of Pearl Jam,178.628,143,97.22222222,4|4,Grunge,6e9704cf-a7f7-4bae-9a40-6e3f5252ceca,e7a5194b-c912-49be-b82a-33aca34d0f17
0150_justdance,Just Dance,Lady Gaga,"Promo Only: Mainstream Radio, October 2008",139.28,119,100.0,4|4,Pop,01372277-c972-4438-9857-44187acf2f66,
0151_kingofdancehall,King of the Dancehall,Beenie Man,Back to Basics,109.554,105,100.0,4|4,Reggaeton,040b9bbc-7244-3125-a5f5-e557b541c917,
0152_kingofrock,King of Rock,Run‐D.M.C.,Together Forever: Greatest Hits 1983–1991,318.844,98,100.0,4|4,Hip-Hop,0031a5a6-da2f-3e5d-bd09-78175491e43b,507f4771-e9bf-43df-bf84-0078e973bcf3
0153_lalaland,La La Land,Demi Lovato,Don’t Forget,156.431,85,100.0,4|4,Pop,06ac54b3-7040-4185-8f2d-c63439e3ee63,
0155_lapdance,Lapdance,N*E*R*D,"Virgin Sampler, Volume 1",151.359,102,100.0,4|4,Hip-Hop,83c7482f-8ed7-36d3-a9ae-cf3f87ce9899,
0156_lastnight,Last Night,Diddy,"RNB Superclub, Volume 7",147.464,121,100.0,4|4,R&B,265f4af6-e1f4-3da5-b996-d7408ab0aa38,
0157_leanwitit,"Lean Wit It, Rock Wit It",Dem Franchize Boyz,101 R&B Hits,151.778,76,100.0,4|4,Hip-Hop,293bae4d-9e4b-4c9e-9f6b-359ded94eedd,c16e1323-eb8b-4708-ab8f-945994d1e38f
0158_letitrock,Let It Rock,Kevin Rudolf,Radio 538 Hitzone 49,159.334,113,100.0,4|4,Hip-Hop,00cd6bf0-837b-318c-a850-d53fc9d5b9dd,
0159_letthemusicplay,Let the Music Play,Shannon,Party Grooves,179.439,115,100.0,4|4,Pop,00c7901a-94c7-38d4-b4b9-5edcfdf5d615,
0160_likeag6,Like a G6,Far East Movement,"The Dome, Volume 56",165.791,125,100.0,4|4,Pop,687b75db-745c-301a-8329-73b139a3b790,ca3e5da9-0756-41c5-b5c3-3dbd90c7457f
0161_limelight,Leaving Town,The Outnumbered,Surveying the Damage,266.632,130,45.33333333,4|4,Prog,2a4968f4-7eae-31d0-bfde-7d292bba5d8d,ad01b188-9161-455f-8d1f-c3fb9847e36d
